*** This text file contains every unique word found within the old query
*** file. Each word is preceeded by a number, which represents the index
*** that when passed into the Dictionary.get() method, returns the
*** corresponding String. For fun, at the bottom of this file, there is a
*** giant block of text which shows how all of the words are stored as a
*** singular string within the Dictionary class. Happy reading!

262    |     4003255 | 1      | jobs
263    |     3001554 | 7      | joe
264    |     4001476 | 1      | july
265    |     7000216 | 35     | jupiter
266    |     3000351 | 234    | key
267    |     4000130 | 31     | keys
268    |     4001563 | 8      | kids
269    |     9003184 | 1      | kissimmee
270    |     3000860 | 12     | koa
271    |     6002795 | 1      | laguna
272    |     8001607 | 4      | lakeland
273    |     4001342 | 6      | land
274    |    11003484 | 1      | landscaping
275    |     7002400 | 1      | lantana
276    |     5001261 | 9      | largo
277    |     4003631 | 1      | last
278    |    10000923 | 12     | lauderdale
279    |     4001628 | 4      | laws
280    |     7002873 | 2      | lebanon
281    |     4003432 | 1      | lego
282    |     4002265 | 8      | lice
283    |     4002745 | 1      | life
284    |    10002341 | 4      | lifeguards
285    |    11003829 | 1      | lighthouses
286    |     4000205 | 80     | list
287    |     7003648 | 1      | listing
288    |     6001615 | 8      | little
289    |     4000122 | 1274   | live
290    |     9001012 | 23     | locations
291    |     7003477 | 1      | lodging
292    |     4003705 | 1      | lots
293    |     5001239 | 13     | lucie
294    |     6001557 | 23     | luxury
295    |     7001977 | 12     | madeira
296    |     8002749 | 2      | magazine
297    |     9002638 | 1      | magazines
298    |     7001510 | 1      | manatee
299    |     3000082 | 1232   | map
300    |     4000782 | 85     | maps
301    |     8003882 | 1      | marathon
302    |     5001290 | 4      | march
303    |     5000690 | 19     | marco
304    |     5000261 | 20     | maria
305    |     8001443 | 48     | marriott
306    |     9003193 | 2      | marriotts
307    |     6001783 | 4      | martin
308    |     2001694 | 6      | me
309    |     8000481 | 6      | meanings
310    |     9000234 | 27     | melbourne
311    |     5003156 | 1      | metal
312    |     6000111 | 20     | mexico
313    |     5000786 | 152    | miami
314    |     4001325 | 4      | mims
315    |     6003635 | 1      | minute
316    |     7002578 | 4      | miramar
317    |     5001600 | 1      | month
318    |     7002738 | 1      | monthly
319    |     4001146 | 2      | most
320    |     6001956 | 7      | motels
321    |     6003089 | 1      | murals
322    |     5002395 | 1      | music
323    |     5000162 | 108    | myers
324    |     4001789 | 11     | name
325    |     5002047 | 7      | names
326    |     6000452 | 248    | naples
327    |     7003560 | 1      | natural
328    |     7001205 | 21     | navarre
329    |     4000590 | 46     | near
330    |     7002237 | 1      | nearest
331    |     3002622 | 1      | new
332    |     4000094 | 18     | news
333    |     6000883 | 10     | nicest
334    |     9002355 | 6      | nightlife
335    |     4001540 | 6      | nn10
336    |     7003387 | 1      | nokomis
337    |     5000098 | 82     | north
338    |     9001223 | 18     | northeast
339    |    12001677 | 1      | northeastern
340    |     8000547 | 14     | northern
341    |     9002686 | 1      | northport
342    |     9000946 | 49     | northwest
343    |    12002438 | 3      | northwestern
344    |     8000982 | 17     | november
345    |     6002472 | 1      | nudist
346    |     2001232 | 8      | nw
347    |     5001743 | 4      | ocala
348    |     5002706 | 1      | ocean
349    |     7002096 | 12     | october
350    |     3001393 | 45     | old
351    |     6003049 | 1      | online
352    |     8003436 | 1      | optional
353    |     6002295 | 1      | orange
